game,revenue
AFK Journey,16500.0
Arknights,8600.0
Beyond the World,8250.0
Blue Archive,10300.0
CookieRun Kingdom,5000.0
Dragon Ball Legends,10400.0
Dragon Ball Z Dokkan Battle,8000.0
Fate/Grand Order,21200.0
Gakuen Idolmaster,10000.0
Genshin Impact,51800.0
Goddess of Victory NIKKE,8000.0
Hatsune Miku Colorful Stage,10100.0
Honkai Star Rail,43300.0
Light and Night,5500.0
Love and Deepspace,39300.0
Memento Mori,5000.0
Monster Strike,32000.0
Naruto Mobile (Tencent),27500.0
One Piece Bounty Rush,9700.0
Puzzle & Dragons,22400.0
Summoners War,10000.0
The Battle Cats,5700.0
Uma Musume Pretty Derby,7000.0
Wuthering Waves,9750.0
Zenless Zone Zero,15500.0
